,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11,0.0,0.0,-4.543965833,-3.9155178709,-2.3629404479,-1.7950599846,-2.8291197247,-4.3554808419,-4.1780459756,-2.9749359615,-2.2843295749,-2.2316301986,-1.4052455947,-0.2250561467,0.5643806305,0.5582290788,0.8120439289,1.5209717771,1.502158605,0.7583957038,0.5276281406,0.9059367016,0.0,0.0,0.0
12,0.0,0.0,-4.5802277069,-4.6850615284,-3.9556264697,-3.769207961,-4.323696749,-5.0238556345,-5.2528628832,-4.6419256718,-4.3571427236,-3.7840791458,-1.9973758238,-0.3087535887,0.9221124969,1.2563676034,1.9706525595,2.7390840183,2.4377529065,1.407918827,0.9781290695,1.2424835383,0.0,0.0,0.0
13,0.0,0.0,-4.7831937755,-4.7880981987,-4.3119563876,-4.6178434831,-4.9330771539,-4.8505220292,-5.1242234507,-5.2919255594,-5.7029127882,-4.3978286332,-1.9470125629,0.0970783701,1.2211868282,1.6994265991,2.7258188562,3.3235639752,2.8290680928,1.6463171873,1.2177385141,1.4482283673,0.0,0.0,0.0
14,0.0,0.0,-5.5942902144,-4.7612203408,-3.7026511658,-3.6967636235,-4.0178332048,-3.9072987423,-3.8154915497,-4.3645396677,-4.7040831906,-2.9782274174,-0.6233001368,0.8030066919,1.0503736732,1.3390215382,2.5035217873,3.0884892274,2.4921334888,1.1515702412,0.5313985123,0.6735466599,0.0,0.0,0.0
15,0.0,0.0,0.0,-4.7866929666,-3.228937562,-2.4810628319,-2.9801942593,-3.3951921668,-3.4013888964,-3.7441293678,-3.4297677018,-1.7685749515,0.0255251305,0.670382472,0.4131536913,0.6226710433,1.5380866835,2.0244318268,1.4723413541,0.1214139909,-0.8285575958,-0.9956754492,0.0,0.0,0.0
16,0.0,0.0,0.0,-4.1099625682,-2.8316961849,-2.3081519437,-3.2992882424,-4.7981618833,-5.0970409345,-4.7413016127,-3.6370777916,-2.5653270922,-1.3113921498,-0.7085241534,-0.4686850074,-0.1217017027,0.4075024176,0.8186807371,0.3637932133,-0.5304279993,-1.5708362319,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,-2.3364581323,-2.4763584444,-3.7544119594,-5.7474744089,-6.0802909943,-5.6228290483,-4.5291088394,-3.9187987589,-2.5348805967,-1.3903401396,-0.592031419,-0.417117305,-0.1852268242,-0.1917240414,-0.5123856442,-1.1142305143,-1.5308876616,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,-1.6912181894,-2.1768367123,-2.8566416222,-4.2400615822,-4.5714717277,-4.8256795537,-4.4216961421,-4.0523377837,-2.435717524,-0.7896987297,0.0390091312,-0.2656734968,-0.4513533453,-0.6720379375,-0.9363780641,-1.4516869474,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,-1.5644569791,-1.6516678789,-2.1249670691,-2.3255716592,-2.7897819805,-2.8431255474,-2.7227828422,-1.8159730035,-0.891354776,-0.5352568996,-1.1827401867,-1.1685197596,-0.9860735076,-0.9236831171,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,-2.0126654985,-2.1355288049,-2.3895692048,-2.1349921053,-1.4334782607,-1.2763596275,-1.7693630168,-2.2518970643,-2.6010789882,-3.2633732984,-3.1333398055,-2.1744728184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4713986858,-1.9735264314,-0.0975577199,0.2450180523,-1.4148904874,-3.436205682,-4.5847634606,-5.1159496708,-4.9584528568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
