,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,-0.0,-0.0,8.6927335219,6.4973629327,3.8376050849,2.7103401667,2.9498658227,2.9410992755,1.7050842135,0.1440469302,-0.7960628099,-1.2581518466,-1.4273010063,-1.6271240228,-1.5571231407,-1.1815829233,-0.7984418764,-0.6696631737,-1.1884021792,-2.4171104265,-3.8072295455,-4.8434985859,-0.0,-0.0,-0.0
11,-0.0,-0.0,6.7582391197,5.0610012889,2.2268207357,1.6297993687,2.881707232,3.8708188671,2.7428069475,0.8067706095,-0.4454594623,-1.1584325237,-1.4979480416,-1.0968827361,-0.5211652503,-0.03893613,-0.0513615949,-0.1342366777,-0.5099550968,-1.5093986908,-2.6399592921,-3.7961981409,-0.0,-0.0,-0.0
12,-0.0,-0.0,3.2201471615,2.1522872703,0.9974296494,1.6689458334,3.3521378342,4.4017236686,3.6077650836,1.8049388814,0.4908691968,-0.344864096,-0.450700625,0.5508021672,0.8757064712,0.5300436665,-0.0925243018,-0.4667998405,-0.9110074942,-2.0191197836,-2.9957674564,-3.7011236477,-0.0,-0.0,-0.0
13,-0.0,-0.0,2.9279802527,2.7631876449,3.1042405695,4.1160131585,4.5508829932,4.2295920893,3.1556773807,1.8550121283,0.6297501192,-0.0299589626,0.2858715766,1.2920036297,0.9327537185,-0.3467900627,-1.5904294678,-2.646287064,-3.4228988521,-4.2423481794,-4.3824359967,-4.2771912338,-0.0,-0.0,-0.0
14,-0.0,-0.0,5.9877069082,6.5031559675,7.5229203237,8.3348824266,7.6138600406,5.6829810767,3.7654762755,1.8927846117,0.3351590416,0.1518259991,1.1904591504,1.6785092021,0.3702196066,-1.4851940651,-2.8485598767,-4.3178457415,-5.2169536761,-5.373396415,-4.6811516979,-4.1220453304,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,8.4877205971,10.2472596704,11.2499094221,9.7092157823,6.8904432645,4.6963921563,2.7538368424,1.1282223723,1.3100803683,2.4904285805,2.2760844794,0.3382573686,-1.4214092368,-2.2171349299,-3.1581853004,-3.7985958522,-3.7724544277,-3.0970477374,-2.8583119584,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,8.7847958544,10.1860152204,10.2835360374,8.3375189731,5.909907048,4.9985904419,4.05747138,3.0958538638,3.1755040168,3.5970162955,2.7114911647,0.9977302314,0.0073174328,-0.2053025237,-0.706570295,-1.4538502018,-1.9247382443,-1.8073802232,-0.0,-0.0,-0.0,-0.0
17,-0.0,-0.0,-0.0,-0.0,8.3193264402,7.5634667366,5.4412714833,3.8495516718,4.1283697809,4.7362534657,4.9470699932,4.7975006331,3.9418612938,2.3430836177,1.2107989348,1.2180240746,1.2038851715,0.8304728059,-0.0452615854,-0.9192407386,-1.6395118961,-0.0,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0,-0.0,6.1750285217,5.1089446458,4.1553249357,3.8052152989,3.933266249,4.3956709647,4.9640580845,4.7053069563,3.4020287089,1.8218068003,1.4142055349,1.62100459,1.1501059041,0.650354064,0.128606889,-0.5096201313,-0.0,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,5.8103952338,6.6770750359,6.6876610779,4.8750679989,3.5575499246,3.4211575599,3.214281057,2.3621202259,1.7373942872,1.7962644262,1.2524727189,-0.2353280383,-0.6436389022,-0.0925307464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.2912555343,8.5654244401,5.7340332153,3.3319141461,2.3719690796,2.0686628224,1.8341398714,2.0202620253,2.1814731632,0.8390677752,-1.1356056535,-1.7227469914,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.6324289519,4.0773511577,3.3399545258,3.0133159497,2.490675568,2.6318533913,2.4833583363,1.0034428745,-1.0189995403,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
